date,startup,vertical,subvertical,city,investors,round,amount (Cr)
2017-02-13,Wassup,Consumer Internet,On Demand Laundry & Dry Cleaning Services,Chennai,anil jain & other hnis,Private Equity,26.4
2017-02-13,Better mortgage,Consumer Internet,Mortgage Offering Platform,Gurgaon,"kleiner perkins,goldman sachs,pine brook",Private Equity,123.75
2017-02-13,Nurturey,Consumer Internet,Parenting Mobile App,New Delhi,mohit joshi & others,Seed Funding,2.7225
2017-02-13,Fyle,Technology,Expense Management Solution,Bangalore,pravega ventures,Seed Funding,3.3
2017-02-14,Gobumpr,Consumer Internet,Online Bike & Car Services provider,Chennai,"mahalingam k,girish mathrubootham",Seed Funding,2.475
2017-02-14,Ccavenue,Consumer Internet,Online Payment Gateway,Mumbai,infibeam,Private Equity,184.8
2017-02-14,Connaizen,Technology,Data Analytics platform,New Delhi,vikram sud,Seed Funding,0.0
2017-02-15,Innov8,Consumer Internet,Co-Working Space Platform,New Delhi,"vijay shekhar sharma,kunal shah,girish mathrubootham,punit soni,sunil kalra,utsav somani,vishal gondal,vikram limaye,anand chandrasekaran,rajan anandan",Seed Funding,0.0
2017-02-15,Zestmoney,Consumer Internet,Online Consumer Lending platform,Bangalore,"payu,ribbit capital,omidyar network",Private Equity,53.625
2017-02-15,Airzaar,Technology,Drone operations management platform,Missourie,quake capital,Seed Funding,2.8875
2017-02-16,Truebil,Consumer Internet,Online Marketplace for Used Cars,Mumbai,shunwei capital,Private Equity,24.75
2017-02-16,Yourstory,Consumer Internet,Online Media,Bangalore,"kalaari capital,qualcomm,3one4 capital,uc-rnt",Private Equity,24.75
2017-02-17,Imaginate,Technology,AR & VR platform,Hyderabad,sri capital,Seed Funding,4.125
2017-02-17,The ken,Consumer Internet,Online Media Platform,Bangalore,"aprameya,deepak natraj,girish mathrubootham,mahesh murthy,pallav nadhani,pavan ongole,vijay shekhar sharma & others,sandeep mathur",Seed Funding,3.3
2017-02-17,Urbanladder,E-Commerce,Online Furniture Store,Bangalore,"kalaari capital,saif partners,steadview capital,sequoia",Private Equity,125.4
2017-02-17,Aisle,Consumer Internet,Online match-making app,Bangalore,"konglo ventures,white unicorn ventures,letsventure",Seed Funding,0.0
2017-02-17,Townscript,Consumer Internet,DIY event registration and ticketing portal,Pune,bookmyshow,Private Equity,0.0
2017-02-17,Leopetra,E-Commerce,Solution provider for pet needs,Mumbai,facebook fbstart,Seed Funding,0.33
2017-02-18,Blood n care,Consumer Internet,First Aid care app,Gurgaon,facebook fbstart,Seed Funding,0.33
2017-02-20,Flipkart,E-Commerce,Online Marketplace,Bangalore,"bennett,coleman,co. ltd (bccl)",Private Equity,319.275
2017-02-21,True balance,Consumer Internet,Mobile balance Checking App,Gurgaon,"softbank ventures korea,imm investment",Private Equity,123.75
2017-02-22,Vebbler,Consumer Internet,Photo Sharing for Groups,Bangalore,facebook fbstart,Seed Funding,0.33
2017-02-23,Get my parking,Consumer Internet,Smart Parking Platform,New Delhi,"indian angel network,beenext,the chennai angels,sunil munjal",Private Equity,9.075
2017-02-23,Lets reap,Consumer Internet,B2B Mobile App for Pharmacies,Mumbai,"kunal shah,nitin saluja,gagan goyal,sandeep tandon",Seed Funding,0.0
2017-02-24,Oglas,Consumer Internet,Mobile Advertising App,Noida,"pankaj rungta,yogesh agarwal",Seed Funding,0.0
2017-02-27,Staydobe,Consumer Internet,Co-Living Spaces Aggregator,Bangalore,ishan manaktala,Seed Funding,0.0
2017-02-27,Biryani by kilo,Consumer Internet,Online Food Ordering & Delivery Portal,Gurgaon,"ashish gupta,rohit,sunil singh & others,ashish chand,chandigarh angels",Seed Funding,3.09375
2017-02-27,Johari shop,E-Commerce,Online Jewellery etailer,Bangalore,undisclosed investors,Seed Funding,0.7755
2017-02-28,Neostencil,Consumer Internet,Live Online Coaching Classes,New Delhi,"paragon trust,brand capital",Private Equity,8.25
2017-02-28,Blackbuck,Logistics,Online freight aggregator,Bangalore,"ifc,accel,flipkart,sanjiv rangrass,sands capital",Private Equity,577.5
2017-01-02,Taxsutra,Consumer Internet,Online Tax Filing platform,Pune,"v balakrishnan,pv srinivasan,tv mohandas pai",Seed Funding,3.0195
2017-01-03,Tempogo,Technology,IoT & SAAS Solutions for Transportation Industry,Panaji,k2 capital,Seed Funding,6.80625
2017-01-03,Gofynd,ecommerce,Fashion ecommerce portal,Mumbai,"rajiv mehta,ramakant sharma,anand chandrasekaran",Seed Funding,0.0
2017-01-03,Vow car clinic,Consumer Internet,Online/App Based Car cleaning service provider,Gurgaon,vishal malik,Seed Funding,0.0
2017-01-04,Learntron,Technology,Blended Learning Delivery App for Schools & Corporates,Chennai,kae capital,Seed Funding,0.0
2017-01-05,Mobident,Consumer Internet,Dentist Appointments booking platform,Bangalore,dangold investment corp,Private Equity,0.0
2017-01-05,Yostra,Technology,Healthcare Technology Solutions,Bangalore,"marico innovation foundation (mif),villgro",Private Equity,0.0
2017-01-06,Leap india,Logistics,Supply Chain Solutions Provider,Mumbai,"india nivesh growth fund,sixth sense,tci ventures",Private Equity,107.25
2017-01-07,Freecharge,Consumer Internet,Mobile Wallet,Mumbai,jasper infotech pvt ltd,Private Equity,470.25
2017-01-09,Ticketnew,Consumer Internet,Movie Ticket Booking platform,Chennai,alibaba pictures,Private Equity,288.75
2017-01-10,Intelligencenode,Technology,SAAS Based Retail Analytics Solutions,Mumbai,blacksoil capital pvt ltd,Private Equity,6.6
2017-01-10,Securens,Technology,e-surveillance services provider,Mumbai,"mayfield,trifecta capital",Private Equity,41.25
2017-01-10,Loan frame,Consumer Internet,Small Business Loans Marketplace platform,Gurgaon,"vedanta capital,william campbell,toos n daruvala",Private Equity,18.5625
2017-01-10,Driveskool,Consumer Internet,online marketplace for driving schools,Bangalore,aavya ventures,Seed Funding,0.0
2017-01-10,Medinfi,Consumer Internet,Doctor & Clinic Discovery portal,Bangalore,"vinod martin,evan lim,kanchan ghoshal,ram kumar kakani",Seed Funding,0.825
2017-01-10,Lenskart,E-Commerce,Online eyewear retailer,Bangalore,ronnie screwvala,Private Equity,28.875
2017-01-11,Instaoffice,Consumer Internet,CoWorking Spaces booking platform,Gurgaon,"zishaan hayath,karan chellani,mohit satyan",Seed Funding,0.0
2017-01-12,Hansel.io,Consumer Internet,Real-time Mobile App Management Platform,Bangalore,"idg,endiya partners",Private Equity,11.1375
2017-01-12,Square yards,Consumer Internet,Property Search Aggregator platform,Gurgaon,"lohia group,andre hoffman",Private Equity,82.5
2017-01-13,Roambee,Technology,IoT smart Logistics and Asset Management Company,Mumbai,deutsche telekom strategic investments & others,Private Equity,33.825
2017-01-13,Paisawapas,Consumer Internet,Cashback & Coupons platform,Bangalore,vividhity ventures,Seed Funding,0.0
2017-01-13,Iservice,Consumer Internet,Gadgets Repair & Service Booking platform,Bangalore,"blume ventures,girish mathrubootham,aprameya",Seed Funding,3.63
2017-01-14,Unacademy,Consumer Internet,Online learning platform,Bangalore,"nexus venture partners,blume ventures",Private Equity,37.125
2017-01-14,Secururax,Technology,Cloud-based solutions provider,Bangalore,"axilor,parampara early stage opportunities fund,others",Private Equity,0.0
2017-01-16,Leadburg,Consumer Internet,Personality Development Mobile App,Bangalore,"harsh v. pant,ratheesh raveendran",Seed Funding,0.0
2017-01-16,Zolostays,Consumer Internet,Branded PG Accomodation booking platform,Bangalore,"nexus venture partners,innoven capital",Private Equity,41.25
2017-01-16,Oi media,Technology,SAAS Based Media Marketing platform,New Delhi,quarizon,Seed Funding,0.0
2017-01-16,Hipcouch,Consumer Internet,Custom & Modular Furniture platform,Mumbai,undisclosed investors,Seed Funding,5.775
2017-01-17,Curiositi,Consumer Internet,Online Learning Platform,Bangalore,"menterra social impact fund,unitus seed fund",Private Equity,6.6
2017-01-17,Tinystep,Consumer Internet,Parenting Info & Social Network,Bangalore,flipkart,Private Equity,16.5
2017-01-17,Practo,Consumer Internet,Online Healthcare platform,Bangalore,"tencent, ru-net,rsi fund,thrive capital",Private Equity,453.75
2017-01-17,Ketchupp,Consumer Internet,Food Discovery Platform,New Delhi,india quotient and others,Seed Funding,3.63825
2017-01-17,Hoopy,Consumer Internet,Online Car Service Platform,Gwalior,undisclosed investors,Seed Funding,4.125
2017-01-17,Ezytruk,Consumer Internet,Logistics and truck aggregator platform,Bangalore,"ajith nair,anish k",Seed Funding,1.21275
2017-01-18,Kratikal,Technology,Cyber Security Solution provider,New Delhi,"amajit gupta,praveen dubey,j.p. bhatt",Seed Funding,0.0
2017-01-18,Direct create,E-Commerce,B2B Marketplace for Handicrafts,Gurgaon,rajasthan venture capital fund,Seed Funding,0.0
2017-01-18,Vahdam teas,E-Commerce,Online Tea etailer,New Delhi,"mumbai angels,fireside ventures,singapore angel network",Seed Funding,5.3625
2017-01-18,Qwikspec,Technology,Cloud-based construction,Bangalore,undisclosed investors,Seed Funding,2.475
2017-01-19,Pparke,Consumer Internet,Parking Solutions mobile app,Bangalore,sb ventures,Seed Funding,0.0
2017-01-19,Weddingz.in,Consumer Internet,Online Marketplace for Wedding Venues and vendors,Mumbai,singularity ventures,Private Equity,8.25
2017-01-19,Native special,E-Commerce,Indian Sweets & Snacks etailer,Karur,"indian angel network,native angels network",Seed Funding,0.0
2017-01-19,Fitnapp,Consumer Internet,Fitness Mobile App,Noida,sd group,Private Equity,0.0
2017-01-20,Ethosh,Technology,Visual and Interactive communications Solutions,Pune,deepak nathani,Seed Funding,0.0
2017-01-20,Wydr,E-Commerce,B2B Wholesale Marketplace in India,Gurgaon,"bessemer venture,stellaris venture partners,jungle venture partners,axis capital",Private Equity,0.0
2017-01-20,Tyre express,Technology,IoT platform for Tyre Performance management & tracking,Mumbai,ivycamp ventures,Seed Funding,0.0
2017-01-20,Connaizen,Technology,Data Analytics platform,New Delhi,umang moondra,Seed Funding,0.0
2017-01-22,Messagif,Consumer Internet,social messaging platform,New Delhi,undisclosed investor,Seed Funding,0.4125
2017-01-23,Smarthi,Technology,Audit automation Solutions,Pune,singapore based investor,Seed Funding,0.0
2017-01-23,Cron systems,Technology,Border Intrusion Alert Solutions,New Delhi,yournest fund ii,Seed Funding,0.0
2017-01-23,Cuemath,Technology,Maths Learning program,New Delhi,"capitalg,sequoia",Private Equity,123.75
2017-01-23,Chippersage,Technology,Online learning platform,Bangalore,india educational investment fund,Seed Funding,0.0
2017-01-24,Selectjobs,Consumer Internet,Online Job portal,Mumbai,india educational investment fund,Seed Funding,0.0
2017-01-24,Khel now,Consumer Internet,Mobile-based Social Platform for Sports,Bangalore,indochine international,Private Equity,4.125
2017-01-24,Nowfloats,Consumer Internet,Platform to take businesses online,Hyderabad,"blume ventures,omidyar network,iron pillar,iifl",Private Equity,82.5
2017-01-24,Letstransport,Consumer Internet,Online transport vehicle booking platform,Bangalore,"gmo japan,neelesh bhatnagar",Private Equity,33.0
2017-01-24,Betaout,Technology,ECommerce Marketing Software,Noida,east ventures & others,Private Equity,0.0
2017-01-25,Wishberry,Consumer Internet,Crowdfunding Platform,Mumbai,"sharad sharma, amit ranjan,rajan anandan,alok mittal,others",Seed Funding,0.0
2017-01-25,Rml agtech,Technology,Agri Decision Support Solution for farmers,Pune,ivycap ventures,Private Equity,33.0
2017-01-25,Loyaltyprime,Technology,Loyalty program management solutions,New Delhi,"senovo,unternehmertum venture capital,alexander bruehl",Private Equity,0.0
2017-01-25,Instasafe,Technology,Security-as-a-Service solution provider,Bangalore,abm knowledgeware,Private Equity,18.15
2017-01-25,Infibeam,E-Commerce,eCommerce Marketplace,Ahmedabad,"bennett,coleman,company ltd",Private Equity,72.6
2017-01-02,99games,Technology,Mobile Game Developer Studio,Udupi,dream incubator,Seed Funding,0.0
2017-01-26,Airmed labs,Consumer Internet,Health Tests Booking platform & ePharmacy,Ahmedabad,brand capital,Private Equity,11.55
2017-01-26,99perhour,Consumer Internet,Hyper-local Handyman Service provider,Chennai,v aanand r,Seed Funding,2.475
2017-01-26,Kochi post,Consumer Internet,English Online News portal,Kochi,"rajesh yohannan,puthen,cole",Seed Funding,0.0
2017-01-30,Intuit things,Technology,IoT solutions for home automation applications,Mumbai,sanjay mehta & others ( the ten minute million),Seed Funding,0.8745
2017-01-30,Cloudrino,Technology,Cloud based Virtual Servers,New Delhi,the ten minute million,Seed Funding,0.185625
2017-01-30,Fabx,E-Commerce,Used Furniture Marketplace,Mumbai,the ten minute million,Seed Funding,0.561
2017-01-30,Maptags,Consumer Internet,Smart Online address tags,Bangalore,the ten minute million,Seed Funding,0.1485
2017-01-30,Yolo health,Consumer Internet,Online Healthcare platform,Mumbai,chandigarh angels network (can),Seed Funding,0.0
2017-01-31,Heads up for tails,E-Commerce,Online Pet Products Store,New Delhi,undisclosed investors,Private Equity,16.5
2017-01-31,Register my marriage,Consumer Internet,Online Marriage Registration services,New Delhi,mumbai angels,Seed Funding,0.0
2016-12-01,Sidqam,Technology,Healthcare Software System,Noida,"sque capital,grace capital ventures,soham vencaps",Private Equity,9.9
2016-12-01,Indialends,Consumer Internet,Online Instant personal Loan provider,New Delhi,"dsg consumer partners,american express,cyber carrier,advantedge",Private Equity,33.0
2016-12-01,Slide app,Consumer Internet,Lock screen Rewards mobile app,New Delhi,songhyun investment,Private Equity,29.7
2016-12-02,Badiyajobs,Consumer Internet,Entry-Level job Seekers platform,New Delhi,undisclosed,Seed Funding,0.825
2016-12-02,Streo,Consumer Internet,Live Music Streaming App,Bangalore,"gems,quarizon",Seed Funding,0.0
2016-12-02,Tygr,Technology,Transport and logistics mobile App,Mumbai,franchise india,Private Equity,24.75
2016-12-05,Mr hot foods,Consumer Internet,Online Food Ordering & Delivery Portal,Indore,ivycamp ventures,Seed Funding,0.0
2016-12-05,Urdoorstep,E-Commerce,Online Grocery Store,Bangalore,lakshmi vilas bank & undisclosed hnis,Private Equity,11.55
2016-12-05,Onn bikes,E-Commerce,"On-demand, self-drive bike rental platform",Mumbai,grace capital ventures,Seed Funding,0.0
2016-12-06,Diro labs,Consumer Internet,Mobile Contacts Management app,New Delhi,info edge (india),Seed Funding,1.21275
2016-12-06,Thb,Technology,Clinical research and data analytics,Gurgaon,"ajith sukumaran,currae healthtech fund",Seed Funding,0.0
2016-12-07,Lookatme,Consumer Internet,Mobile App based Fashion Network,Singapore,eros labs,Seed Funding,0.0
2016-12-07,Netree,E-Commerce,Mobile-only Retailers Engagement Solution,New Delhi,"the chennai angels,letsventure",Seed Funding,0.0
2016-12-07,Bookeventz,Consumer Internet,"Venue, Events Booking platform",Mumbai,investors from mumbai angels & letsventure,Seed Funding,0.0
2016-12-07,Tailslife,Consumer Internet,Pet Parenting mobile app,Bangalore,"mohan kumar,v. balakrishnan",Seed Funding,0.0
2016-12-07,Revv,Consumer Internet,Self-Driven Car Services booking portal,New Delhi,edelweiss private equity,Private Equity,74.25
2016-12-07,Wealthapp,Consumer Internet,Online Investment Advisory platform,Bangalore,"venk,mj aravind,vikram kotak,jayant davar, ramkumar nishtal,arjun",Seed Funding,3.63
2016-12-07,Vehico,Technology,Connected Transportation solutions,Bangalore,"calcutta angel network,appliyifi",Seed Funding,0.0
2016-12-08,Zestmoney,Consumer Internet,Online Consumer Lending platform,Mumbai,payu,Private Equity,53.625
2016-12-08,Gomechanic,Consumer Internet,Online Car servicing Booking platform,Gurgaon,venture catalysts,Seed Funding,2.0625
2016-12-09,Stalkbuylove,E-Commerce,Fashion Apparel eTailer,New Delhi,kalaari capital,Private Equity,49.5
2016-12-09,Nykaa,E-Commerce,Beauty Products etailer,Mumbai,max ventures and industries,Private Equity,0.0
2016-12-09,Wittyparot,Technology,Content Management & Productivity platform,Bangalore,mumbai angels,Seed Funding,3.7125
2016-12-09,Neuroequilibrium,Technology,Health-Tech platform,Jaipur,unicorn india ventures,Seed Funding,2.0625
2016-12-12,Xseed education,Technology,Education & learning Tech platform,Bangalore,verlinvest sa,Private Equity,82.5
2016-12-12,Rupaiya exchange,Consumer Internet,P2P Lending platform,New Delhi,undisclosed investors,Seed Funding,1.65
2016-12-12,Doctorinsta,Consumer Internet,Online Doctor Consulting platform,Gurgaon,roundglass partners,Private Equity,16.5
2016-12-12,Urbanpiper,Consumer Internet,Self-Branded Websites & Apps for Ecommerce,Bangalore,"axilor,undisclosed",Seed Funding,0.0
2016-12-12,Fresh food concepts,Food & Beverage,Cold Press Juice manufacturer & seller,New Delhi,"siddhartha gupta,ashvin chadha",Seed Funding,16.5
2016-12-13,Indifi,Consumer Internet,Online lending platform,Gurgaon,omidyar network,Private Equity,82.5
2016-12-13,Gocomet,Logistics,Marketplace for International Freight,Mumbai,"india,rajul garg,rajesh yabaji,chanakya hridaya,ramasubramaniam b,vishwanathan,nobel house,sunstone capital",Seed Funding,0.0
